Handle,Title,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
latte,,,,,,,,,238,,Size,Large,,,,,,,,188,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
latte,,,,,,,,,239,,Size,Extra Large,,,,,,,,220,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
flat-white,Flat White,,My Coffee Co,Food & Beverages > Beverages > Coffee,Hot Coffee,Hot Coffee,TRUE,Active,240,,Size,Regular,,,,,,,,167,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
flat-white,,,,,,,,,241,,Size,Large,,,,,,,,199,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
flat-white,,,,,,,,,242,,Size,Extra Large,,,,,,,,230,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
mocha,Mocha,,My Coffee Co,Food & Beverages > Beverages > Coffee,Hot Coffee,Hot Coffee,TRUE,Active,244,,Size,Regular,,,,,,,,199,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
mocha,,,,,,,,,245,,Size,Large,,,,,,,,230,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
mocha,,,,,,,,,246,,Size,Extra Large,,,,,,,,262,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
protein-hot-latte,Protein Hot Latte,,My Coffee Co,Food & Beverages > Beverages > Coffee,NEW DRINKS,NEW DRINKS,TRUE,Active,475,,Size,Regular,,,,,,,,199,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
protein-hot-latte,,,,,,,,,476,,Size,Large,,,,,,,,199,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
protein-hot-latte,,,,,,,,,477,,Size,Extra Large,,,,,,,,230,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
signature-protein-shake,Signature Protein Shake,,My Coffee Co,Food & Beverages > Beverages,NEW DRINKS,NEW DRINKS,TRUE,Active,479,,Size,Regular,,,,,,,,157,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
signature-protein-shake,,,,,,,,,480,,Size,Large,,,,,,,,167,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
signature-protein-shake,,,,,,,,,481,,Size,Extra Large,,,,,,,,220,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
sugar-free-protein-milkshake,Sugar Free Protein Milkshake,,My Coffee Co,Food & Beverages > Beverages,NEW DRINKS,NEW DRINKS,TRUE,Active,483,,Size,Regular,,,,,,,,188,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
sugar-free-protein-milkshake,,,,,,,,,484,,Size,Large,,,,,,,,209,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
sugar-free-protein-milkshake,,,,,,,,,485,,Size,Extra Large,,,,,,,,262,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
vanilla-oat-milk-iced-matcha,Vanilla Oat Milk Iced Matcha,,My Coffee Co,Food & Beverages > Beverages,NEW DRINKS,NEW DRINKS,TRUE,Active,487,,Size,Regular,,,,,,,,209,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
vanilla-oat-milk-iced-matcha,,,,,,,,,488,,Size,Large,,,,,,,,262,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
vanilla-oat-milk-iced-matcha,,,,,,,,,489,,Size,Extra Large,,,,,,,,314,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
vanilla-oat-protein-shake,Vanilla Oat Protein Shake,,My Coffee Co,Food & Beverages > Beverages,NEW DRINKS,NEW DRINKS,TRUE,Active,491,,Size,Regular,,,,,,,,157,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
vanilla-oat-protein-shake,,,,,,,,,492,,Size,Large,,,,,,,,209,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
vanilla-oat-protein-shake,,,,,,,,,493,,Size,Extra Large,,,,,,,,262,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
vegan-oat-shakerato,Vegan Oat Shakerato,,My Coffee Co,Food & Beverages > Beverages,NEW DRINKS,NEW DRINKS,TRUE,Active,495,,Size,Regular,,,,,,,,230,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
vegan-oat-shakerato,,,,,,,,,496,,Size,Large,,,,,,,,262,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
vegan-oat-shakerato,,,,,,,,,497,,Size,Extra Large,,,,,,,,283,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
signature-cold-chocolate,Signature Cold Chocolate,,My Coffee Co,Food & Beverages > Beverages,NEW DRINKS,NEW DRINKS,TRUE,Active,499,,Size,Large,,,,,,,,230,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
signature-cold-chocolate,,,,,,,,,500,,Size,Extra Large,,,,,,,,262,,,TRUE,,,,,,shopify,100,DENY,0,g,FALSE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
